color_id,color_name,x_m,y_m
1,Yellow,53.0,87.75
1,Yellow,58.0,87.75
1,Yellow,63.0,87.75
1,Yellow,68.0,87.75
1,Yellow,73.0,87.75
1,Yellow,78.0,87.75
1,Yellow,83.0,87.75
1,Yellow,88.0,87.75
1,Yellow,93.0,87.75
1,Yellow,98.0,87.75
1,Yellow,103.0,87.75
1,Yellow,108.0,87.75
1,Yellow,113.0,87.75
1,Yellow,118.0,87.75
2,Blue,53.0,84.25
2,Blue,58.0,84.25
2,Blue,63.0,84.25
2,Blue,68.0,84.25
2,Blue,73.0,84.25
2,Blue,78.0,84.25
2,Blue,83.0,84.25
2,Blue,88.0,84.25
2,Blue,93.0,84.25
2,Blue,98.0,84.25
2,Blue,103.0,84.25
2,Blue,108.0,84.25
2,Blue,113.0,84.25
2,Blue,118.0,84.25
3,Orange,47.4390771484375,84.273671875
3,Orange,47.4390771484375,87.726328125
3,Orange,48.7390771484375,87.726328125
3,Orange,48.7390771484375,84.273671875
3,Orange,122.439072265625,84.273671875
3,Orange,122.439072265625,87.726328125
3,Orange,123.739072265625,87.726328125
3,Orange,123.739072265625,84.273671875
3,Orange,128.0,87.75
3,Orange,133.0,87.75
3,Orange,138.0,87.75
3,Orange,143.0,87.75
3,Orange,148.0,87.75
3,Orange,153.0,87.75
3,Orange,158.0,87.75
3,Orange,163.0,87.75
3,Orange,168.0,87.75
3,Orange,173.0,87.75
3,Orange,178.0,87.75
3,Orange,183.0,87.75
3,Orange,188.0,87.75
3,Orange,193.0,87.75
3,Orange,198.0,87.75
3,Orange,203.0,87.75
3,Orange,208.0,87.75
3,Orange,213.00001953125,87.75
3,Orange,218.0,87.75
3,Orange,223.0,87.75
3,Orange,128.0,84.25
3,Orange,133.0,84.25
3,Orange,138.0,84.25
3,Orange,143.0,84.25
3,Orange,148.0,84.25
3,Orange,153.0,84.25
3,Orange,158.0,84.25
3,Orange,163.0,84.25
3,Orange,168.0,84.25
3,Orange,173.0,84.25
3,Orange,178.0,84.25
3,Orange,183.0,84.25
3,Orange,188.0,84.25
3,Orange,193.0,84.25
3,Orange,198.0,84.25
3,Orange,203.0,84.25
3,Orange,208.0,84.25
3,Orange,213.00001953125,84.25
3,Orange,218.0,84.25
3,Orange,223.0,84.25
3,Orange,223.0,86.58
3,Orange,223.0,85.42
